concorrenza,ripetizione,latenza_media_ms,latenza_max_ms,tok_sec_media,cpu_media_percent,cpu_max_percent,ram_media_mb,ram_max_mb,n_campioni
1,1,1294.1,1294.1,127.0,23.5,54.5,3299.8,3473.8,3
1,2,266.2,266.2,148.0,15.5,15.5,3031.8,3031.8,1
1,3,192.9,192.9,146.3,11.8,11.8,3390.9,3390.9,1
2,1,452.4,545.8,125.7,19.4,20.4,3216.1,3400.8,2
2,2,320.0,429.6,137.5,12.9,12.9,3332.2,3332.2,1
2,3,420.0,505.9,125.3,14.0,16.2,3382.2,3389.7,2
4,1,773.5,1342.8,96.2,12.8,13.8,3403.2,3407.1,3
4,2,808.3,1405.9,96.8,15.3,16.9,3359.2,3374.2,3
4,3,655.0,1179.3,102.1,13.6,15.0,3380.8,3393.2,3
8,1,1378.9,2829.1,92.4,15.0,18.8,3418.3,3441.9,6
8,2,1411.1,2875.7,83.5,15.1,21.2,3332.3,3361.1,6
8,3,1639.2,3189.7,92.3,13.0,17.5,3331.5,3391.6,7
