idx,load_level,capacity_level,latency_risk,advice,latenza_ms,prompt_ms,predicted_ms,tok_sec,prompt_tokens,completion_tokens,cached_tokens,cpu_media,cpu_max,ram_media_mb,ram_max_mb
1,low,low,low,scale_up,9699.92,53.15,1365.43,259.99,100,355,0,13.5,30.5,3052.6,3181.2
2,low,low,medium,redistribute,1316.23,10.79,1114.19,260.28,100,290,30,9.6,15.5,3108.6,3218.4
3,low,low,high,scale_up,2244.09,10.1,2027.1,258.99,100,525,30,12.5,26.2,3152.0,3251.2
4,low,medium,low,accept,1378.84,10.28,939.85,260.68,100,245,24,6.8,7.3,3084.4,3095.3
5,low,medium,medium,redistribute,2231.68,10.12,2017.31,258.76,100,522,30,6.5,9.1,3076.0,3106.0
6,low,medium,high,optimize,1310.12,10.14,1102.31,260.36,100,287,30,6.4,7.9,3126.1,3143.9
7,low,high,low,reduce,1628.83,10.28,1456.61,260.19,100,379,24,9.5,18.6,3117.0,3151.5
8,low,high,medium,redistribute,1366.76,10.11,873.75,260.94,100,228,30,5.7,7.1,3073.4,3092.9
9,low,high,high,scale_up,1613.21,10.12,1432.06,259.07,100,371,30,6.4,7.5,3061.9,3070.9
10,medium,low,low,scale_up,1599.42,11.42,1398.36,259.59,100,363,19,6.0,7.2,3074.0,3084.1
11,medium,low,medium,scale_up,1722.28,10.14,1353.91,259.99,100,352,30,5.4,6.5,3073.6,3079.0
12,medium,low,high,scale_up,1691.09,10.1,1514.15,260.21,100,394,30,6.0,8.0,3069.6,3082.7
13,medium,medium,low,scale_up,1418.62,10.31,986.5,259.5,100,256,24,6.0,7.8,3065.5,3071.0
14,medium,medium,medium,optimize,1459.71,10.17,1183.83,260.17,100,308,30,5.8,6.0,3093.1,3113.0
15,medium,medium,high,redistribute,2664.64,10.15,2452.73,258.49,100,634,30,5.1,5.7,3017.9,3032.2
16,medium,high,low,accept,1198.08,10.32,903.97,259.96,100,235,24,5.8,7.7,3087.2,3103.4
17,medium,high,medium,redistribute,2341.57,10.16,1896.69,258.87,100,491,30,6.6,12.1,3061.5,3118.3
18,medium,high,high,redistribute,1579.55,10.18,1327.94,259.8,100,345,30,6.2,6.8,3020.5,3045.8
19,high,low,low,scale_up,1424.43,11.22,1194.94,260.26,100,311,19,7.1,8.5,3027.7,3039.3
20,high,low,medium,scale_up,1343.07,10.16,1133.39,260.28,100,295,30,6.1,6.4,3036.7,3041.8
21,high,low,high,offload,1951.67,10.13,1750.92,259.29,100,454,30,6.1,6.5,3036.4,3046.1
22,high,medium,low,redistribute,1880.18,10.28,1538.64,259.97,100,400,24,5.6,9.0,3040.2,3049.2
23,high,medium,medium,offload,1987.3,10.39,1802.24,259.12,100,467,30,7.3,9.5,3080.0,3095.1
24,high,medium,high,scale_up,1580.62,10.11,1283.17,260.29,100,334,30,7.0,9.0,3006.5,3052.8
25,high,high,low,scale_up,1427.03,10.3,1055.61,260.51,100,275,24,5.5,6.2,2988.4,2989.6
26,high,high,medium,stable,2800.44,10.11,2534.22,258.46,100,655,30,6.0,8.3,3011.4,3033.4
27,high,high,high,scale_up,2249.32,10.17,1998.08,258.75,100,517,30,7.8,12.9,3074.8,3096.4
