idx,load_level,capacity_level,latency_risk,advice,latenza_ms,prompt_ms,predicted_ms,tok_sec,prompt_tokens,completion_tokens,cached_tokens,cpu_media,cpu_max,ram_media_mb,ram_max_mb
1,low,low,low,scale_up,4861.52,29.16,148.72,188.28,130,28,0,6.1,24.0,2865.3,2963.3
2,low,low,medium,scale_up,336.98,9.08,163.07,183.97,130,30,58,8.9,8.9,3030.1,3030.1
3,low,low,high,scale_up,356.41,10.12,155.89,192.45,130,30,58,9.5,9.5,2900.4,2900.4
4,low,medium,low,scale_up,326.83,11.72,135.86,191.38,130,26,52,5.8,5.8,2894.0,2894.0
5,low,medium,medium,scale_up,382.87,8.6,205.76,189.54,130,39,58,5.2,5.2,2911.9,2911.9
6,low,medium,high,scale_up,316.04,9.85,170.23,187.98,130,32,58,6.1,6.1,2914.7,2914.7
7,low,high,low,scale_up,323.91,12.42,147.12,190.31,130,28,52,31.9,31.9,3050.8,3050.8
8,low,high,medium,scale_up,345.5,11.4,169.25,189.07,130,32,58,16.8,16.8,2996.5,2996.5
9,low,high,high,scale_up,363.98,9.8,169.15,189.18,130,32,58,16.6,16.6,3030.4,3030.4
10,medium,low,low,scale_up,324.56,9.45,162.49,190.79,130,31,47,15.5,15.5,3052.3,3052.3
11,medium,low,medium,scale_up,269.33,8.7,136.97,189.83,130,26,58,17.5,17.5,3041.4,3041.4
12,medium,low,high,reduce,397.77,12.22,261.96,190.87,130,50,58,16.0,16.0,3043.2,3043.2
13,medium,medium,low,scale_up,529.06,10.44,265.6,188.25,130,50,52,15.2,15.6,3040.4,3048.6
14,medium,medium,medium,stabilize,309.16,11.3,163.29,189.85,130,31,58,20.0,20.0,3073.2,3073.2
15,medium,medium,high,scale_up,312.28,10.08,155.56,192.85,130,30,58,14.5,14.5,3066.7,3066.7
16,medium,high,low,scale_up,328.55,9.7,136.93,197.18,130,27,52,15.6,15.6,3033.9,3033.9
17,medium,high,medium,scale_up,334.34,8.64,162.66,190.58,130,31,58,14.8,14.8,3025.7,3025.7
18,medium,high,high,scale_up,315.71,8.51,186.01,188.16,130,35,58,13.3,13.3,3026.2,3026.2
19,high,low,low,scale_up,486.03,11.82,245.18,187.62,130,46,47,14.5,14.5,3032.8,3032.8
20,high,low,medium,scale_up,352.38,9.61,138.69,194.68,130,27,58,11.5,11.5,3042.0,3042.0
21,high,low,high,reduce,440.31,8.2,246.26,186.79,130,46,58,16.9,16.9,3151.6,3151.6
22,high,medium,low,scale_up,439.75,12.22,294.08,187.02,130,55,52,13.7,13.7,3057.0,3057.0
23,high,medium,medium,scale_up,329.26,8.79,198.9,186.03,130,37,58,14.1,14.1,3079.4,3079.4
24,high,medium,high,scale_up,330.12,8.99,163.09,190.08,130,31,58,13.9,13.9,3086.8,3086.8
25,high,high,low,scale_up,329.35,11.47,171.51,192.41,130,33,52,13.8,13.8,3101.5,3101.5
26,high,high,medium,scale_up,355.79,8.95,180.33,188.55,130,34,58,12.4,12.4,3102.7,3102.7
27,high,high,high,scale_up,326.97,12.04,172.4,191.41,130,33,58,12.3,12.3,3113.5,3113.5
