idx,load_level,capacity_level,latency_risk,advice,latenza_ms,prompt_ms,predicted_ms,tok_sec,prompt_tokens,completion_tokens,cached_tokens,cpu_media,cpu_max,ram_media_mb,ram_max_mb
1,low,low,low,accept,6988.26,52.14,141.78,317.39,116,45,0,64.9,80.2,3065.2,3138.2
2,low,low,medium,avoid,346.81,13.64,156.41,319.68,116,50,1,67.1,67.1,3045.5,3045.5
3,low,low,high,avoid,416.02,13.66,181.69,319.23,116,58,1,71.4,71.4,3259.3,3259.3
4,low,medium,low,accept,397.33,14.07,174.9,314.46,116,55,1,73.5,73.5,3132.4,3132.4
5,low,medium,medium,avoid,342.4,13.81,151.17,317.51,116,48,1,79.5,79.5,3221.4,3221.4
6,low,medium,high,avoid,335.03,13.77,133.09,315.57,116,42,1,75.8,75.8,3115.5,3115.5
7,low,high,low,accept,338.64,13.75,147.46,318.74,116,47,1,72.7,72.7,3110.0,3110.0
8,low,high,medium,accept,387.73,13.68,159.41,319.92,116,51,1,72.6,72.6,3115.0,3115.0
9,low,high,high,avoid,358.25,13.69,137.17,320.78,116,44,1,74.1,74.1,3166.9,3166.9
10,medium,low,low,accept,366.3,13.67,162.59,319.83,116,52,1,72.6,72.6,3111.3,3111.3
11,medium,low,medium,avoid,330.31,13.91,159.31,320.12,116,51,1,66.6,66.6,3078.3,3078.3
12,medium,low,high,avoid,358.35,14.14,152.37,315.03,116,48,1,69.6,69.6,3157.3,3157.3
13,medium,medium,low,accept,368.53,14.47,149.93,320.15,116,48,1,72.2,72.2,3174.7,3174.7
14,medium,medium,medium,avoid,377.34,16.27,139.46,315.49,116,44,1,65.1,65.1,3049.0,3049.0
15,medium,medium,high,avoid,338.32,14.13,144.47,318.4,116,46,1,65.0,65.0,3048.1,3048.1
16,medium,high,low,accept,373.29,13.68,156.37,319.75,116,50,1,64.3,64.3,3062.1,3062.1
17,medium,high,medium,accept,409.56,13.71,178.87,318.67,116,57,1,64.7,64.7,3045.2,3045.2
18,medium,high,high,avoid,347.79,14.06,141.01,319.13,116,45,1,66.4,66.4,3057.0,3057.0
19,high,low,low,avoid,379.85,13.59,162.67,319.66,116,52,1,67.4,67.4,3055.4,3055.4
20,high,low,medium,avoid,415.83,13.96,149.71,320.62,116,48,1,67.1,67.1,3148.9,3148.9
21,high,low,high,avoid,356.69,13.61,162.71,319.58,116,52,1,71.6,71.6,3094.1,3094.1
22,high,medium,low,accept,350.65,13.74,149.72,320.6,116,48,1,80.7,80.7,3211.7,3211.7
23,high,medium,medium,avoid,362.57,13.62,149.84,320.33,116,48,1,70.4,70.4,3093.7,3093.7
24,high,medium,high,avoid,356.97,13.62,149.71,320.62,116,48,1,72.9,72.9,3112.3,3112.3
25,high,high,low,accept,389.44,14.18,138.53,317.63,116,44,1,79.1,79.1,3123.3,3123.3
26,high,high,medium,avoid,370.39,13.88,153.7,318.81,116,49,1,73.1,73.1,3109.4,3109.4
27,high,high,high,avoid,467.99,14.01,158.58,315.3,116,50,1,67.5,67.5,3071.0,3071.0
