idx,load_level,capacity_level,latency_risk,advice,latenza_ms,prompt_ms,predicted_ms,tok_sec,prompt_tokens,completion_tokens,cached_tokens,cpu_media,cpu_max,ram_media_mb,ram_max_mb
1,low,low,low,accept,4850.63,31.28,80.0,462.47,141,37,0,60.0,72.9,3033.8,3118.0
2,low,low,medium,avoid,265.26,7.98,62.79,477.77,141,30,58,66.1,66.1,3046.7,3046.7
3,low,low,high,avoid,282.52,7.63,69.04,477.97,141,33,58,66.6,66.6,3044.7,3044.7
4,low,medium,low,accept,268.57,7.33,90.73,473.95,141,43,52,64.3,64.3,3020.8,3020.8
5,low,medium,medium,accept,329.98,7.46,73.44,476.56,141,35,58,65.1,65.1,3014.2,3014.2
6,low,medium,high,avoid,288.42,7.45,75.53,476.64,141,36,58,65.7,65.7,3033.0,3033.0
7,low,high,low,accept,259.07,7.51,73.41,476.75,141,35,52,65.5,65.5,3048.4,3048.4
8,low,high,medium,accept,270.43,7.6,81.98,475.73,141,39,58,63.9,63.9,3035.3,3035.3
9,low,high,high,avoid,299.1,7.55,79.94,475.35,141,38,58,65.2,65.2,3036.6,3036.6
10,medium,low,low,accept,336.11,7.75,88.44,474.92,141,42,47,63.2,63.2,3039.4,3039.4
11,medium,low,medium,accept,341.86,7.07,88.49,474.65,141,42,58,63.7,63.7,3037.4,3037.4
12,medium,low,high,accept,262.22,7.05,73.42,476.7,141,35,58,67.3,67.3,3067.4,3067.4
13,medium,medium,low,accept,324.99,7.78,102.49,468.33,141,48,52,88.8,88.8,3208.3,3208.3
14,medium,medium,medium,accept,275.33,7.1,71.6,474.89,141,34,58,84.9,84.9,3121.5,3121.5
15,medium,medium,high,avoid,291.16,7.11,84.15,475.32,141,40,58,71.6,71.6,3092.0,3092.0
16,medium,high,low,accept,316.2,7.16,79.83,476.03,141,38,52,72.1,72.1,3049.9,3049.9
17,medium,high,medium,accept,302.51,7.08,94.9,474.19,141,45,58,80.3,80.3,3100.0,3100.0
18,medium,high,high,avoid,266.54,7.78,90.74,473.9,141,43,58,73.8,73.8,3174.7,3174.7
19,high,low,low,avoid,252.86,7.92,79.97,475.2,141,38,47,67.9,67.9,3139.7,3139.7
20,high,low,medium,avoid,273.81,7.3,86.19,475.7,141,41,58,72.1,72.1,3131.6,3131.6
21,high,low,high,avoid,256.41,7.07,82.0,475.62,141,39,58,72.6,72.6,3126.0,3126.0
22,high,medium,low,accept,326.41,7.8,97.06,473.91,141,46,52,68.7,68.7,3114.7,3114.7
23,high,medium,medium,avoid,345.54,7.06,82.01,475.55,141,39,58,77.0,77.0,3296.6,3296.6
24,high,medium,high,avoid,276.84,7.11,84.19,475.1,141,40,58,80.1,80.1,3215.0,3215.0
25,high,high,low,accept,304.35,7.26,80.03,474.82,141,38,52,80.9,80.9,3216.6,3216.6
26,high,high,medium,avoid,289.45,7.23,79.8,476.21,141,38,58,70.6,70.6,3112.8,3112.8
27,high,high,high,avoid,329.59,7.14,87.22,470.05,141,41,58,76.6,76.6,3157.0,3157.0
