idx,load_level,capacity_level,latency_risk,advice,latenza_ms,prompt_ms,predicted_ms,tok_sec,prompt_tokens,completion_tokens,cached_tokens,cpu_media,cpu_max,ram_media_mb,ram_max_mb
1,low,low,low,stable,15741.18,31.94,7784.33,127.31,103,991,0,9.6,39.4,2955.2,3131.9
2,low,low,medium,scale_up,5672.91,14.22,5152.3,127.32,103,656,31,9.1,23.0,3012.1,3122.7
3,low,low,high,scale_up,4478.77,21.0,3898.82,127.22,103,496,31,6.1,9.0,2993.0,3039.8
4,low,medium,low,stable,3319.75,13.55,2866.24,127.34,103,365,25,7.2,12.1,2994.5,3020.4
5,low,medium,medium,reduce,7509.59,15.71,6980.4,126.93,103,886,31,10.8,27.6,3009.4,3116.6
6,low,medium,high,redistribute,3942.77,16.1,3442.46,128.11,103,441,31,7.6,17.7,2993.2,3029.0
7,low,high,low,stable,3818.66,16.79,3499.05,127.75,103,447,25,16.8,24.3,3083.3,3118.8
8,low,high,medium,redistribute,5437.56,17.79,5269.6,127.33,103,671,31,14.6,18.1,3084.5,3150.2
9,low,high,high,redistribute,4324.91,14.35,3939.62,127.42,103,502,31,17.0,22.4,3099.8,3123.7
10,medium,low,low,scale_up,2981.36,14.38,2396.92,128.5,103,308,20,16.6,19.2,3122.8,3145.8
11,medium,low,medium,scale_up,9810.85,16.8,9381.05,126.74,103,1189,31,11.3,37.8,3016.7,3187.6
12,medium,low,high,scale_up,5889.84,18.47,5176.53,127.31,103,659,31,7.2,12.3,2952.9,3029.4
13,medium,medium,low,stable,3779.9,13.18,3557.61,127.89,103,455,25,15.6,36.0,3120.3,3195.1
14,medium,medium,medium,stable,3696.43,16.52,3508.34,128.27,103,450,31,9.3,16.2,3099.6,3149.8
15,medium,medium,high,redistribute,3434.77,14.4,2806.88,126.83,103,356,31,10.5,28.9,3109.0,3205.6
16,medium,high,low,stable,4105.27,12.74,3782.26,127.44,103,482,25,11.7,22.6,3114.6,3155.7
17,medium,high,medium,stable,5116.73,16.44,4678.79,127.6,103,597,31,12.5,37.5,3100.1,3145.8
18,medium,high,high,redistribute,3485.22,14.75,3041.14,128.9,103,392,31,8.1,15.9,3081.5,3155.8
19,high,low,low,scale_up,4394.08,19.77,3819.51,128.03,103,489,20,15.4,23.2,3107.1,3187.2
20,high,low,medium,scale_up,4900.21,13.19,4426.55,127.19,103,563,31,14.9,22.4,3003.9,3072.6
21,high,low,high,scale_up,3982.5,13.18,3647.68,127.48,103,465,31,17.3,34.4,3041.5,3084.2
22,high,medium,low,scale_up,5501.32,17.44,5201.05,127.47,103,663,25,9.9,16.5,3018.5,3076.8
23,high,medium,medium,scale_up,3866.25,13.6,3594.17,127.99,103,460,31,8.7,25.5,3011.2,3103.0
24,high,medium,high,scale_up,3990.24,16.43,3792.93,127.87,103,485,31,7.0,14.2,3001.6,3100.7
25,high,high,low,stable,4440.83,11.49,3815.25,140.49,103,536,25,12.9,20.4,3074.2,3091.0
26,high,high,medium,redistribute,3606.03,18.38,3338.77,128.79,103,430,31,10.8,24.4,3050.8,3137.9
27,high,high,high,redistribute,4721.69,18.06,4161.89,127.35,103,530,31,16.0,42.5,3020.6,3173.3
