concorrenza,ripetizione,latenza_media_ms,latenza_max_ms,latenza_min_ms,tok_sec_media,completion_tokens_media
1,1,1149.2,1149.2,1149.2,164.5,13.0
1,2,406.0,406.0,406.0,81.9,31.0
1,3,366.4,366.4,366.4,83.2,28.0
1,4,259.8,259.8,259.8,95.5,22.0
1,5,392.8,392.8,392.8,85.4,31.0
2,1,525.7,690.8,360.6,96.2,30.0
2,2,447.2,611.6,282.7,82.0,23.0
2,3,317.1,429.4,204.8,128.3,22.5
2,4,610.1,867.9,352.4,71.4,28.5
2,5,556.5,827.9,285.2,77.2,28.5
4,1,942.1,1499.3,274.7,79.0,27.5
4,2,903.8,1566.3,296.7,72.1,26.0
4,3,1253.8,1928.4,388.4,76.0,33.5
4,4,1052.9,1652.6,479.5,70.5,27.8
4,5,786.3,1280.9,271.0,99.6,30.2
8,1,1450.2,2586.9,264.1,86.4,25.6
8,2,1825.0,3127.8,492.6,68.5,25.1
8,3,1672.6,2818.0,320.6,81.3,26.2
8,4,1756.0,3011.2,369.0,85.2,29.0
8,5,1583.4,2852.8,332.8,95.8,31.1
